Provider,Service,Instance Type,Region,Usage Type,Price Per Unit,Units,Currency,Performance Score,Availability,Reserved Discount 1yr,Reserved Discount 3yr
AWS,S3 Standard,,US East,Storage,0.023,GB/Month,USD,85,99.99,20,40
AWS,S3 Standard,,EU West,Storage,0.024,GB/Month,USD,83,99.99,20,40
AWS,S3 Standard,,Asia Pacific,Storage,0.025,GB/Month,USD,80,99.95,20,40
Azure,Blob Storage,,US East,Storage,0.018,GB/Month,USD,82,99.99,25,45
Azure,Blob Storage,,EU West,Storage,0.02,GB/Month,USD,80,99.95,25,45
Azure,Blob Storage,,Asia Pacific,Storage,0.022,GB/Month,USD,78,99.9,25,45
Google Cloud,Cloud Storage,,US East,Storage,0.02,GB/Month,USD,87,99.99,15,35
Google Cloud,Cloud Storage,,EU West,Storage,0.021,GB/Month,USD,85,99.95,15,35
Google Cloud,Cloud Storage,,Asia Pacific,Storage,0.023,GB/Month,USD,83,99.9,15,35
AWS,EC2,t2.micro,US East,Compute,0.0116,Hour,USD,75,99.95,30,60
Azure,Virtual Machine,B1s,US East,Compute,0.0104,Hour,USD,78,99.95,33,62
Google Cloud,Compute Engine,e2-micro,US East,Compute,0.01,Hour,USD,80,99.99,28,58
AWS,RDS,db.t3.micro,US East,Database,0.017,Hour,USD,88,99.99,25,50
Azure,SQL Database,General Purpose,US East,Database,0.016,Hour,USD,85,99.95,27,52
Google Cloud,Cloud SQL,db-f1-micro,US East,Database,0.015,Hour,USD,86,99.95,20,45
